community_id,canonical_name,aliases,station_code,address_patterns,twd97_x,twd97_y,completion_year,source_notes
zhufeng-qingting,竹風青庭,青庭,A17,領航北路四段310號,,,,591 listing data; community sign
zhufeng-qingtian,竹風青田,青田,A17,領航北路四段318號,,,,591 listing data; community sign
chengshi-de-yuanjian,城市的遠見,遠見,A17,領航北路四段320號,,,,591 listing data
weijun-dixi,威均帝璽,帝璽,A17,致祥街96號,,,,591 listing data
weijun-tianxiang,威均天翔,天翔,A17,致遠一路38號,,,,591 listing data
guoji-jinrong-shuangxing,國際金融雙星,雙星,A17,大智路168號,,,,591 listing data
hongpu-guangnian-shijie,宏普光年世界館,光年;世界館,A17,領航北路四段316號,,,,591 listing data
jiarui-you-city,佳瑞遊city,遊city,A17,致遠一路57號,,,,591 listing data
taida-zhen,桃大真,,A18,高鐵站前西路186號,,,,591 listing data
taida-yong,桃大詠,,A18,高鐵站前西路198號,,,,591 listing data
baolai-huayuan,寶徠花園,,A18,高鐵站前東路一段91號,,,,591 listing data
risheng-xinjingzhan,日勝新京站,新京站,A18,高鐵站前東路一段93號,,,,591 listing data
zhanqian-A-plus,站前A+,,A18,青商路118號,,,,591 listing data
liangmao-yongheng,良茂詠恆,詠恆,A18,青商路128號,,,,591 listing data
xinrun-qingfeng,新潤青峰,青峰,A18,青峰路317號,,,,591 listing data
liandong-shijie,聯上世界,,A18,青昇路200號,,,,591 listing data
fuyu-dongfangyue,富宇東方悅,東方悅,A18,青昇路225號,,,,591 listing data
taizi-fu,太子馥,,A18,高鐵站前東路一段138號,,,,591 listing data
jingmao-1,京懋一號,,A18,青峰路32號,,,,591 listing data
huaerdorf,華爾道夫,,A18,青商路66號,,,,591 listing data
chuanmu-ruiji,川睦叡極,叡極,A19,文智路68號,,,,591 listing data
wenxing,問星,,A19,文智路158號,,,,591 listing data
meishu-shui-gongyuan,美術水公園,水公園,A19,領航南路二段221號,,,,591 listing data
xin-sen-huo,新森活,,A19,領航南路二段209號,,,,591 listing data
helin-rich-one,禾林RICH ONE,RICH ONE,A19,文發路168號,,,,591 listing data
tairui-A19,太睿A19,,A19,領航南路二段215號,,,,591 listing data
taizi-guobao,太子國寶,國寶,A19,文智路116號,,,,591 listing data
